date,TSLA,AAPL
2025-11-17,408.92,267.46
2025-11-18,401.25,267.44
2025-11-19,403.99,268.56
2025-11-20,395.23,266.25
2025-11-21,391.09,271.49
2025-11-24,417.78,275.92
2025-11-25,419.4,276.97
2025-11-26,426.58,277.55
2025-11-28,430.17,278.85
2025-12-01,430.14,283.1
2025-12-02,429.24,286.19
2025-12-03,446.74,284.15
2025-12-04,454.53,280.7
2025-12-05,455.0,278.78
2025-12-08,439.58,277.89
2025-12-09,445.17,277.18
2025-12-10,451.45,278.78
2025-12-11,446.89,278.03
2025-12-12,458.96,278.28
2025-12-15,475.31,274.11
2025-12-16,489.88,274.61
2025-12-17,467.26,271.84
2025-12-18,483.37,272.19
2025-12-19,481.2,273.67
2025-12-22,488.73,270.97
2025-12-23,485.56,272.36
2025-12-24,485.4,273.81
2025-12-26,475.19,273.4
2025-12-29,459.64,273.76
2025-12-30,454.43,273.08
2025-12-31,449.72,271.86
2026-01-02,438.07,271.01
2026-01-05,451.67,267.26
2026-01-06,432.96,262.36
2026-01-07,431.41,260.33
2026-01-08,435.8,259.04
2026-01-09,445.01,259.37
2026-01-12,448.96,260.25
2026-01-13,447.2,261.05
2026-01-14,439.2,259.96
2026-01-15,438.57,258.21
2026-01-16,437.5,255.53
2026-01-20,419.25,246.7
2026-01-21,431.44,247.65
2026-01-22,449.36,248.35
2026-01-23,449.06,248.04
2026-01-26,435.2,255.41
2026-01-27,430.9,258.27
2026-01-28,431.46,256.44
2026-01-29,416.56,258.28
2026-01-30,430.41,259.48
2026-02-02,421.81,270.01
2026-02-03,421.96,269.48
2026-02-04,406.01,276.49
2026-02-05,397.21,275.91
2026-02-06,411.11,278.12
2026-02-09,417.32,274.62
2026-02-10,425.21,273.68
2026-02-11,428.27,275.5
2026-02-12,417.07,261.73
2026-02-13,417.44,255.78
2026-02-17,410.63,263.88
2026-02-18,411.32,264.35
2026-02-19,411.71,260.58
2026-02-20,411.82,264.58
2026-02-23,399.83,266.18
2026-02-24,409.38,272.14
2026-02-25,417.4,274.23
2026-02-26,408.58,272.95
2026-02-27,402.51,264.18
2026-03-02,403.32,264.72
2026-03-03,392.43,263.75
2026-03-04,405.94,262.52
2026-03-05,405.55,260.29
2026-03-06,396.73,257.46
2026-03-09,398.68,259.88
2026-03-10,399.235,260.83
2026-03-11,407.82,260.81
2026-03-12,395.01,255.76
2026-03-13,391.2,250.12
2026-03-16,395.56,252.82
2026-03-17,399.27,254.23
2026-03-18,392.78,249.94
2026-03-19,380.3,248.96
2026-03-20,367.96,247.99
2026-03-23,380.85,251.49
2026-03-24,383.03,251.64
2026-03-25,385.95,252.62
2026-03-26,372.11,252.89
2026-03-27,361.83,248.8
2026-03-30,355.28,246.63
2026-03-31,371.75,253.79
2026-04-01,381.26,255.63
2026-04-02,360.59,255.92
2026-04-06,352.82,258.86
2026-04-07,346.65,253.5
2026-04-08,343.25,258.9
2026-04-09,345.62,260.49
2026-04-10,348.95,260.48
2026-04-13,352.42,259.2
